"Administración General del Estado","Ministerio de Sanidad y Política Social","Centro de Referencia Estatal de Atención al Daño Cerebral",Q2801213F,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=dKxRcPilaB8%3D,"Rio Bullaque 1",28034,Madrid,España,917355190,917364670,ceadac.imserso@mtas.es
"Administración General del Estado","Ministerio de Fomento","Centro Nacional de Información Geográfica",Q2817024I,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=MmyN4xNkloE%3D,"c/ General Ibañez de Ibero 3",28003,Madrid,España,915979788,915979773,isidra.gomez@cnig.es
"Administración General del Estado","Ministerio del Interior","Centro Penitenciario de Badajoz",S0613002E,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=2zU%2FigfH8H8%3D,"Ctra. de Olivenza, Km. 7.300",06071,Badajoz,España,924289100,924289107,director.badajoz@dgip.mir.es
"Administración General del Estado","Ministerio del Interior","Centro Penitenciario de La Moraleja - Dueñas (Palencia)",S3416003F,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=VLKEoW2aQ%2BI%3D,"Ctra. Local P-120",34210,"Dueñas (Palencia)",España,979716305,979716315,Director.Lamoraleja@dgip.mir.es
"Administración General del Estado","Ministerio del Interior","Centro Penitenciario de Ocaña I",S4513005A,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=e3BD1IvvzDw%3D,"Mártires, 4",45300,"Ocaña (Toledo)",España,925130011,925121239,administrador.ocana1@dgip.mir.es
"Administración General del Estado","Ministerio del Interior","Centro Penitenciario de Tenerife",S3813013D,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=JPxS8milbVU%3D,"Camino Escaño s/n",38290,"El Rosario - Tenerife",España,922869500,922621057,administrador.tenerife@dgip.mir.es
"Administración General del Estado","Ministerio del Interior","Centro Penitenciario de Topas (Salamanca)",Q3766008A,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=NOpFci89nQc%3D,"Crt. Nacional 630 Km.314",37799,"Topas (Salamanca)",España,923127100,923127136,administrador.topas@dgip.mir.es
"Administración General del Estado","Ministerio del Interior","Centro Penitenciario Madrid III",S2813066D,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=KTUAWCEpy%2Fw%3D,"Ctra. Pinto-San Martín de la Vega Km. 5",28340,"Valdemoro (Madrid)",España,918948097,916920392,administrador.madrid3@dgip.mir.es
"Administración General del Estado","Ministerio del Interior","Centro Penitenciario Puerto III",Q1100513I,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=NGMdZMYy7l0%3D,"Ctra. Jerez-Rota Km. 5",11500,"El Puerto de Santa María (Cádiz)",España,956476807,956476823,Administrador.puerto3@dgip.mir.es
"Entidad de Derecho Público","Consorcio del Recinto de Ferias y Exposiciones de Asturias (Gijón)","Cogerencia del Consorcio del Recinto de Ferias y Exposiciones de Asturias (Gijón)",Q3373005B,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=3W%2Fk3ROnZdc%3D,"Ctra. Piles al Infanzón 652",33203,Gijón,España,985180162,985180106,vcenal@camaragijon.es
"Administración Local","Consell Comarcal del Vallès Oriental","Comisió de Gobierno del Consell Comarcal del Vall&egrave;s Oriental",P5800010J,Catalán,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=h1AsiZVX5Ys%3D,"Miquel Ricomà 46",08401,Granollers,España,938600703,938790444,secretaria@vallesoriental.cat
"Administración Local","Secretaria Consorci per a la Gestió dels Residus del Vallès Oriental","Comisió Executiva Consorci per a la Gestió dels Residus del Vall&egrave;s Oriental",P5809509B,Catalán,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=pZAWL0%2FHhHc%3D,"Camino Ral, S/N",08401,Granollers,España,938708579,938601669,jsala@cresidusvo.cat
"Entidad de Derecho Público","Instituto de Crédito Oficial (ICO)","Comisión de Contratación",Q2876002C,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=Wno2CokPAZg%3D,"Pº del Prado 4",28014,Madrid,España,915921600,915921700,ico@ico.es
"Entidad de Derecho Público","Instituto de Crédito Oficial (ICO)","Comisión de Contratación del Instituto de Crédito Oficial (ICO)",Q2876002C,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=EB%2FJ0FOd1Io%3D,"Pº del Prado 4",28014,Madrid,España,915921600,915921898,seccomision.contratacion@ico.es
"Administración Local","consell Insular de Formentera","Comisión de Gobierno del Consell Insular de Formentera",P0702400C,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=jCdJG6CoAD0%3D,"Plaza de la Constitución, 1",07860,"Sant Francesc (Formentera)",España,971321016,971322556,secretaria@formentera.es
"Administración Local","Consell Insular de Menorca (CIM)","Comisión de Gobierno del Consell Insular de Menorca",S0733002J,Catalán,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=yKFJxXEIYLg%3D,"Plz. Biosfera 5",07703,Mahón,España,971356264,971352483,jmrg.secretaria@cime.es
"Administración Local","Consorcio para la Gestión de Residuos Sólidos en Asturias","Comisión Delegada Consorcio para la Gestión de Residuos Sólidos en Asturias",P3300001I,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=gxY%2FJum9nZM%3D,"Marqués de Santa Cruz, 12, 4º",33007,Oviedo,España,985208340,985208901,rafael.fueyo@cogersa.es
"Administración General del Estado","Ministerio de Ciencia e Innovación","Comisión Ejecutiva del Centro Nacional de Experimentación de Tecnologías de Hidrógeno y Pilas de Combustible",S1300109D,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=%2B0PcMdY9gvY%3D,"Aduana, 10, 1ª Planta",13500,"Puertollano (Ciudad Real)",España,926420682,926670507,orcce@cnethpc.es
"Administración Local","Consell Agrari Municipal de Sueca (Valencia)","Comisión Ejecutiva del Consell Agrari Municipal de Sueca ",P9623701A,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=z1HHW7hAhPE%3D,"Cullera 15, bajo",46410,Sueca,España,961703881,961703881,sueca_cas@gva.es
"Entidad de Derecho Público","Consorcio para el Equipamiento y Explotación del Laboratorio Subterráneo de Canfranc","Comisión Ejecutiva del Consorcio para el Equipamiento y Explotación del Laboratorio Subterráneo de Canfranc",S2200015B,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=DYXPU7mATPs%3D,"Plaza del Ayuntamiento",22880,"Canfranc Estación",España,974373474,974979475,acalvo@lsc-canfranc.es
"Administración Local","Mancomunidad de SS de Castañeda,Penagos, Santa María de Cayón y Saro","Comisión Gestora de la Mancomunidad de SS de Castañeda,Penagos, Santa María de Cayón y Saro",P3900557D,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=TaH45FfWWYg%3D,"Bº El Sombrero S/N",39694,"Santa María de Cayón",España,,,secretaria@ayto-cayon.com
"Administración Local","Mancomunidad Intermunicipal Voluntaria La Plana (Barcelona)","Comisión Gestora de la Mancomunidad Intermunicipal Voluntaria La Plana ",P0800024B,Catalán,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=Qyoi7eB%2Fa4I%3D,"Sector el Quadro",08519,Malla,España,938124167,938124702,secretarimip@mancoplana.cat
"Entidad de Derecho Público","Comisión Nacional del Mercado de Valores","Comisión Nacional del Mercado de Valores",Q2891005G,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=piKbOQU6KFY%3D,"Miguel Ángel, 11",28010,Madrid,España,915851520,,licitaciones@cnmv.es
"Administración Local","Mancomunidad Intermunicipal Voluntaria La Plana (Barcelona)","Comisión Permanente de Gobierno de la Mancomunidad Intermunicipal Voluntaria La Plana ",P0800024B,Catalán,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=jcatE8Pv6Ck%3D,"Sector el Quadro",08519,Malla,España,938124167,938124702,secretarimlp@mancoplana.cat
"Entidad de Derecho Público","Consorci Sociosanitari de Menorca","Comisión Permanente del Consorci Sociosanitari de Menorca",G57538332,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=Y%2BgQ8K6eVLM%3D,"Plaza de la Biosfera 5",07703,Mahón,España,,,csmenorca@gmail.com
"Administración General del Estado","Ministerio de Economía y Hacienda","Comisionado para el Mercado de Tabacos",Q2826042J,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=1tT4RW0%2BJ%2B0%3D,"P Habana 140",28036,madrid,España,917457250,917457212,comisionado@cmtabacos.es
"Administración Local","Consell Comarcal de l'Alt Urgell","Comissió de Gobierno del Consell Comarcal de l'Alt Urgell",P7500006G,Catalán,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=%2BgHVJbxMWps%3D,"Passeig Joan Brudieu, 15",25700,"La Seu D'Urgell",España,973353112,973352788,consell@alturgell.ddl.net
"Otras Entidades del Sector Público","SUMA INTERMUTUAL, Entidad Mancomunada de Mutuas de Accidentes de Trabajo y Enfermedades Profesionales de l Seguridad Social, num. 69","Comité de Dirección de SUMA INTERMUTUAL",G85459113,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=C9q3TZCt1l4%3D,"Capitán Haya, 31",28020,Madrid,España,,,egarsat@egarsat.es
"Otras Entidades del Sector Público","Centro Tecnológicode la Piel de Andalucia","Comité de Dirección del Centro Tecnológico de la Piel de Andalucía",G72064520,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=v%2FAiIKoSlhY%3D,"Ingeniero Juan Romero Carrasco, 28  1ª planta",11600,"Ubrique (Cádiz)",España,956461292,956463946,info@movexct.com
"Administración General del Estado","Ministerio de Medio Ambiente, y Medio Rural y Marino","Comité Ejecutivo de la Mancomunidad de los Canales del Taibilla",Q3017002A,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=APhUgYQcJXw%3D,"Mayor, 1",30201,Cartagena,España,968320014,968320224,contratacion@mct.es
"Entidad de Derecho Público","Consorcio de la Zona Franca de Vigo","Comité Ejecutivo del Consorcio de la Zona Franca de Vigo",V36611580,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=o242UtBJTWo%3D,"Área Portuaria de Bouzas, S/N",36208,Vigo,España,986269721,986269730,pce@zonafrancavigo.com
"Administración Local","Organismo Autónomo Municipal de Cultura del Ayuntamiento de Oleiros (A Coruña)","Concejalía de Cultura, Educación y Juventud del Organismo Autónomo Municipal de Cultura del Ayuntamiento de Oleiros ",G15216674,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=683e89%2FuTkE%3D,"Camilo Díaz Baliño",15173,Oleiros,España,981610000,981631825,s.miranda@oleiros.org
"Administración Local","Ayuntamiento de Valdés (Principado de Asturias)","Concejalía de Hacienda, Obras y Servicios del Ayuntamiento de Valdés ",P3303400J,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=tdpdLDJjIPo%3D,"Alfonso X el sabio, 1",33700,Luarca,España,985640085,985470371,contratacion@ayto-valdes.net
"Administración Local","Ayuntamiento de Telde (Gran Canaria)","Concejalía Delegada de Contratación del  Ayuntamiento de Telde ",P3502600D,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=8PzkGbnClyk%3D,"Pº Maestra Encarnación Santana 7",35200,Telde,España,928059017,928059052,milaramos@ayuntamientodetelde.org
"Administración Local","Ayuntamiento de Rincón de la Victoria (Málaga)","Concejalía Delegada de RRHH, Organización y Régimen Interior del Ayuntamiento de Rincón de la Victoria",P2908200E,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=CZlO6i4Js78%3D,"Plaza Al-Andalus 1",29730,"Rincón de la Victoria",España,952075052,952407104,contratacion@rincondelavictoria.es
"Administración General del Estado","Ministerio de Medio Ambiente, y Medio Rural y Marino","Confederación Hidrográfica del Duero",Q4717001D,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=vV3Ee05FeWg%3D,"Muro, 5",47004,Valladolid,España,983215400,983215439,contratacion@chduero.es
"Administración General del Estado","Ministerio de Educación, Política Social y Deporte","Consejería de Educación ante la OCDE, UNESCO y COE",S2818079B,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=F0S%2BmgpWUQg%3D,"22 Avenue Mareau",75008,París,Francia,,,consejeria.ooii@mepsyd.es
"Administración General del Estado","Ministerio de Educación, Política Social y Deporte","Consejería de Educación en Alemania, Dinamarca, Finlandia, Noruega y Suecia",S2818063F,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=xMXr%2BRAg5P8%3D,"Lichtensteinallee 1",10787,Berlín,Alemania,,,consejeria.de@mepsyd.es
"Administración General del Estado","Ministerio de Educación, Política Social y Deporte","Consejería de Educación en Andorra",S2818071I,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=D%2BDV35AZoZ4%3D,"Prat de la Creu 34, AD500 Andorra la Vella",,"Andorra la Vella",Andorra,,,consejeria.ad@mepsyd.es
"Administración General del Estado","Ministerio de Educación, Política Social y Deporte","Consejería de Educación en Argentina",S2818072G,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=A9R0%2BrmohsE%3D,"Avenida de Mayo 1212, 1º piso, C1085ABP, Capital Federal",,"Buenos Aires",Argentina,,,consejeria.ar@mepsyd.es
"Administración General del Estado","Ministerio de Educación, Política Social y Deporte","Consejería de Educación en Australia",S2818068E,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=ctZb9MsfpUo%3D,"15 Arkana Street",02600,"Yarralumla ACT",Australia,,,spainedu.au@mepsyd.es
"Administración General del Estado","Ministerio de Educación, Política Social y Deporte","Consejería de Educación en Bélgica, Luxemburgo y Paises Bajos",S2818070A,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=1fykTKYqjBw%3D,"Boulevard Bischoffsheim, 39, 1000 Bruselas",,Bruselas,Bélgica,,,consejeria.be@mepsyd.es
"Administración General del Estado","Ministerio de Educación, Política Social y Deporte","Consejería de Educación en Brasil",S2818069C,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=kXEzMJvDOb8%3D,"SES Avda. das Naçoes Qd. 811, Lote 44, 70429-900",,Brasilia,Brasil,,,consejeria.br@mepsyd.es
"Administración General del Estado","Ministerio de Educación, Política Social y Deporte","Consejería de Educación en Bulgaria",S2800166G,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=YGJdpxqWzQo%3D,"Sheinovo, 25",01504,Sofía,Bulgaria,,,consejeria.bg@mepsyd.es
"Administración General del Estado","Ministerio de Educación, Política Social y Deporte","Consejería de Educación en China",S2800244B,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=Cn34%2BggrrOQ%3D,"46, Dong Zhi Men Wai Da Jie, ",,"100027 Pekín",China,,,consejeria.cn@mepsyd.es
"Administración General del Estado","Ministerio de Educación, Política Social y Deporte","Consejería de Educación en Estados Unidos y Canadá",S2818067G,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=TtgeJX7wbB4%3D,"2375 Pennsylvania Ave. NW",20037,"Washington DC","Estados Unidos",,,consejeria.usa@mepsyd.es
"Administración General del Estado","Ministerio de Educación, Política Social y Deporte","Consejería de Educación en Francia",S2818066I,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=6wEopJDbqm4%3D,"22 Avenue Marceau",75008,Paris,España,,,consejeria.fr@mepsyd.es
"Administración General del Estado","Ministerio de Educación, Política Social y Deporte","Consejería de Educación en Italia",S2818064D,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=uW2XtIZeRG8%3D,"Piazza dell'Oro 3, int. 10-11",00186,Roma,Italia,,,consejeria.it@mepsyd.es
"Administración General del Estado","Ministerio de Educación, Política Social y Deporte","Consejería de Educación en Marruecos",S2818065A,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=iqUOvUQbxJY%3D,"9 Avda. de Marrakech",10000,Rabat,Marruecos,,,consejeria.ma@mepsyd.es
"Administración General del Estado","Ministerio de Educación, Política Social y Deporte","Consejería de Educación en México",S2800165I,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=9Zotb03Z5VM%3D,"Calle Hegel 713",11580,"Chapultepec-Polanco. México, DF",México,,,consejeria.mx@mepsyd.es
"Administración General del Estado","Ministerio de Educación, Política Social y Deporte","Consejería de Educación en Polonia",S2800167E,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=RNv%2BK%2FRlcVw%3D,"ul. Fabryczna 16/22 lok 22, 00-446",,Varsovia,Polonia,,,nuria.dominguez@mepsyd.es
"Administración General del Estado","Ministerio de Educación, Política Social y Deporte","Consejería de Educación en Portugal",S2818075J,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=sAq4sT7agXY%3D,"Rua do Salitre 1, Lisboa 1269-052",,Lisboa,Portugal,,,consejeria.pt@mepsyd.es
"Administración General del Estado","Ministerio de Educación, Política Social y Deporte","Consejería de Educación en Reino Unido e Irlanda",S2818074C,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=itQrbZs%2F72M%3D,"20 Peel Street, W8 7PD",,Londres,"Reino Unido",,,consejeria.uk@mepsyd.es
"Administración General del Estado","Ministerio de Educación, Política Social y Deporte","Consejería de Educación en Suiza",S2818073E,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=qSYL7n1VBXY%3D,"Kirchenfeldstrasse 57",03005,Bern,Suiza,,,consejeria.ch@mepsyd.es
"Administración Local","Ayuntamiento de Gijón","Consejería Delegada de Cementerios de Gijón SA (CEGISA)",A33802752,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=K5UyyzYxIg4%3D,"Instituto 27",33201,Gijón,España,985340081,985175627,javier@cementeriosdegijon.com
"Otras Entidades del Sector Público","Barcelona d'Infraestructures Municipals, S.A.","Consejero Delegado de Barcelona d'Infraestructures Municipals, S.A.",A62320486,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=LAjXjvNGcjg%3D,"Venezuela, 105 -1º",08019,Barcelona,España,933034170,932662094,jramos@bimsa.es
"Otras Entidades del Sector Público","Bilbao Exhibition Centre SA","Consejero Delegado de Bilbao Exhibition Centre SA",A95135984,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=1lhdlYm6xzY%3D,"Ronda de Azkue 1",48902,"Barakaldo (Vizcaya)",España,944040000,944040001,bec@bec.eu
"Otras Entidades del Sector Público","Sociedad Urbanística Municipal de Paterna SA","Consejero Delegado de la Sociedad Urbanística Municipal de Paterna SA",A96991518,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=yHLfATPVkXs%3D,"C/ Thomas Alva Edison, nº. 6, (Parque Tecnológico)",46980,Paterna,España,961389200,961389113,sumpa@sumpa.es
"Otras Entidades del Sector Público","Limpieza y Medio Ambiente de Getafe, Sociedad Anónima Municipal","Consejero Delegado del Consejo de Administración de Limpieza y Medio Ambiente de Getafe, Sociedad Anónima Municipal",A81745457,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=9T4Fci4B9Z0%3D,"Perales 6, 1º A",28902,Getafe,España,916831032,916839912,n.gayo@lyma.net
"Entidad de Derecho Público","Sociedad Estatal de Participaciones Industriales (SEPI)","Consejo de Administración - Sociedad Estatal de Participaciones Industriales (SEPI)",Q2820015B,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=s3E0NitadV4%3D,"Velázquez, 134",28006,Madrid,España,913961000,,luismi@sepi.es
"Otras Entidades del Sector Público","Aguas de Alcazar, Empresa Municipal SA","Consejo de Administración de  Aguas de Alcazar, Empresa Municipal SA",A13157029,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=5RSpwX6a%2F7c%3D,"Rondilla Cruz Verde 1",13600,"Alcazar de San Juan ",España,,,administracion@aguasalcazar.com
"Administración General del Estado","Ministerio de Medio Ambiente, y Medio Rural y Marino","Consejo de Administración de Aguas de la Cuenca del Guadalquivir SA (ACUAVIR)",A91012641,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=zDfcgPVTJ3E%3D,"República Argentina 43",41011,Sevilla,España,954991615,954082200,apguti@acuavir.com
"Otras Entidades del Sector Público","Aguas de la Cuenca del Tajo S.A.","Consejo de Administración de Aguas de la Cuenca del Tajo S.A.",A83066985,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=PfSE9Kp1U%2BE%3D,"Agustín de Betancourt, 25 - 4ª planta",28003,Madrid,España,915986270,915350502,aguastajo@aguas-tajo.com
"Otras Entidades del Sector Público","Aguas del Duero SA (ACUADUERO)","Consejo de Administración de Aguas del Duero SA (ACUADUERO)",A47442835,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=Zil8MOvpGyI%3D,"Duque de la Victoria 20, 1º",47001,Valladolid,España,983213377,983213497,direccion@acuaduero.es
"Otras Entidades del Sector Público","Barcelona d'Infraestructures Municipals, S.A.","Consejo de Administracion de Barcelona d'Infraestructures Municipals, S.A.",A62320486,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=V1vI906RKO8%3D,"Venezuela, 105 -1º",08019,Barcelona,España,933034170,932662094,jramos@bimsa.es
"Otras Entidades del Sector Público","Baronía de Escriche S.L.","Consejo de Administración de Baronía de Escriche S.L.",B44200566,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=ibQDXsp0HvQ%3D,"Plaza San Juan, 7",44071,Teruel,España,978647400,978647415,cdiez@dpteruel.es
"Administración Local","Ayuntamiento de Gijón","Consejo de Administración de Cementerios de Gijón SA (CEGISA)",A33802752,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=ZSbz0mUP4ks%3D,"c/ Instituto 27",33201,Gijón,España,985340081,985175627,mgmartinez@gijon.es
"Otras Entidades del Sector Público","CCAA de Cantabria","Consejo de Administración de GESAICAN",B39597729,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=7qLSpVOJU9g%3D,"General Mola, 35  1º dcha.",39004,"Santander (Cantabria)",España,942760056,942760058,gesaican@gesaican.com
"Otras Entidades del Sector Público","Gestión y Servicios de Paterna S.L.U.","Consejo de Administración de Gestión y Servicios de Paterna S.L.U.",B98106925,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=CWad6bcbRoY%3D,"Thomas Alva Edison, 6",46980,"Paterna (Valencia)",España,961108226,961111494,gespaterna@gespaterna.es
"Otras Entidades del Sector Público","Hidroguadiana SA","Consejo de Administración de Hidroguadiana SA",A82227687,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=ZR%2BRpQ973K4%3D,"Camilo José Cela 2",06800,Mérida,España,924387594,924302203,merida@hidroguadiana-sa.es
"Entidad de Derecho Público","Autoridad Portuaria de Las Palmas","Consejo de Administración de la Autoridad Portuaria de Las Palmas",Q3567002E,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=VeP7g2%2BdHQI%3D,"Tomás Quevedo Ramírez s/n",35008,"Las Palmas de Gran Canaria",España,928214514,928214460,omontesdeoca@palmasport.es
"Administración Local","Compañía para la Gestión de Residuos Sólidos en Asturias S.A.","Consejo de Administración de la Compañía para la Gestión de Residuos Sólidos en Asturias S.A.",A33068578,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=y%2Fi3H9hvNlU%3D,"Marqués de Santa Cruz, 12, 4º",33007,Oviedo,España,985208340,985208901,rafael.fueyo@cogersa.es
"Administración Local","Ayuntamiento de Gijón","Consejo de Administración de la Empresa Municipal de Aguas de Gijón SA",A33604729,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=FYBhULp4L6A%3D,"Avda. Príncipe de Asturias 70",33212,Gijón,España,985182862,985182900,contratacion.ema@gijon.es
"Administración Local","Ayuntamiento de Gijón","Consejo de Administración de la Empresa Municipal de la Vivienda de Gijón ",B33821463,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=9vGaIuspQxk%3D,"Enrique Martínez 1",33205,Gijón,España,985182802,985182818,ctuya@gijon.es
"Otras Entidades del Sector Público","Empresa Municipal de la Vivienda de San Lorenzo de El Escorial","Consejo de Administración de la Empresa Municipal de la Vivienda de San Lorenzo de El Escorial",A83729459,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=K2jafE7%2FHCA%3D,"Plaza de la Constitución, 3",28200,"San Lorenzo de El Escorial (Madrid)",España,,,contratacion_emvsl@yahoo.es
"Administración Local","Ayuntamiento de Gijón","Consejo de Administración de la Empresa Municipal de Servicios de Medio Ambiente Urbano de Gijón (EMULSA)",A33697350,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=9W4E%2F6znTrQ%3D,"Plaza Mayor 1",33201,Gijón,España,985181450,985181495,contratacion.emulsa@gijon.es
"Administración Local","Empresa Municipal de Suelo y Vivienda SL (EMUSVIL) del Ayuntamiento de la Línea de la Concepción","Consejo de Administración de la Empresa Municipal de Suelo y Vivienda (EMUSVIL) del Ayuntamiento de la Línea de la Concepción",B11536893,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=Kdgn6nYPQI0%3D,"Avenida España 1",11300,"La Línea de la Concepción",España,956690292,956174579,contratacion@lalinea.es
"Administración Local","Ayuntamiento de Gijón","Consejo de Administración de la Empresa Municipal de Transportes Urbanos de Gijón SA (EMTUSA)",A33696279,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=3c4m3eRS3gA%3D,"Avenida del Transporte 6",33211,Gijón,España,985181090,985329934,contratacion.emtusa@gijon.es
"Comunidad Autónoma","Empresa Pública Sociedad de Servicios del Principado de Asturias (SERPA, S.A.)","Consejo de Administración de la Empresa Pública Sociedad de Servicios del Principado de Asturias (SERPA, S.A.)",A74061177,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=wbnkc8OUTa0%3D,"La Laboral, C/ Luis Moya Blanco, nº 261, primera planta",33203,Gijón,España,985133316,985338374,serpa@serpasa.es
